Index,Name,Form,Pokemon,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Product (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
281,Cresselia,,488,♀,615,103,10,7,15,71.1,8.0,8.0,,,,"2026-07-02 18:13",8/10/2024,,,0,1,0,961,53.02%,1925,95.22%,40326,60,Cresselia,,1,51.50%,1987,96.03%,193926,214,Cresselia,,1,,,,,,,,,
282,Omanyte,,138,♂,317,46,2,15,12,64.4,8.0,8.0,,,,"2026-07-02 18:13",8/11/2024,,,0,1,0,961,99.39%,26,98.92%,450726,384,Omanyte,,1,98.12%,78,98.60%,249126,336,Omastar,,1,60.42%,1622,92.85%,9842,18,Omanyte,,1,
283,Skarmory,Normal,227,♀,763,85,13,10,14,82.2,13.0,13.0,,,,"2026-07-02 18:13",8/14/2024,,,0,1,0,0,60.51%,1618,95.57%,75364,84,Skarmory,Normal,1,99.80%,9,98.76%,404600,215,Skarmory,Normal,2,,,,,,,,,
284,Kangaskhan,Normal,115,♀,1789,162,13,11,10,75.6,25.0,25.0,,,,"2026-07-02 18:13",8/14/2024,,,0,0,0,4000,,,,,,,,,29.06%,2906,95.00%,184000,205,Kangaskhan,Normal,0,,,,,,,,,
285,Magnezone,,462,,1155,89,10,13,13,80.0,13.0,13.0,,,,"2026-07-02 18:13",,,,0,1,0,1921,43.20%,2327,94.47%,14524,21,Magnezone,,1,88.74%,462,97.38%,21450,21,Magnezone,,2,,,,,,,,,
286,Metagross,Normal,376,,1615,106,14,14,15,95.6,15.0,15.0,,,,"2026-07-02 18:13",,,,0,0,0,1900,,,,,,,,,66.98%,1353,96.38%,38400,36,Metagross,Normal,0,,,,,,,,,
287,Metagross,Normal,376,,3976,165,15,15,14,97.8,44.0,44.0,,,,"2026-07-02 18:13",8/18/2024,,,0,0,0,12000,,,,,,,,,,,,,,,,,,,,,,,,,
288,Buizel,,418,♂,429,83,12,10,15,82.2,15.0,15.0,,,,"2026-07-02 18:13",8/19/2024,,,0,0,0,1900,64.08%,1472,95.50%,32400,80,Floatzel,,0,57.63%,1736,95.64%,334400,318,Floatzel,,0,74.73%,1036,93.74%,9800,10,Buizel,,0,
289,Lileep,,345,♀,456,84,14,6,10,66.7,13.0,13.0,,,,"2026-07-02 18:13",8/21/2024,,,0,1,0,1921,15.90%,3445,93.08%,66364,126,Cradily,,1,95.60%,181,95.58%,402600,258,Cradily,,2,15.87%,3446,89.58%,3842,6,Lileep,,1,
290,Sandshrew,Alola,27,♀,285,57,12,15,15,93.3,8.0,8.0,,,,"2026-07-02 18:13",8/23/2024,,,0,1,0,961,99.95%,3,99.29%,402600,213,Sandshrew,Alola,2,73.80%,1074,96.47%,225300,258,Sandslash,Alola,2,42.74%,2346,92.64%,14883,27,Sandshrew,Alola,1,
291,Meowscarada,,908,♂,2384,144,14,12,14,88.9,30.0,30.0,,,,"2026-07-02 18:12",,,,0,0,0,5000,,,,,,,,,49.21%,2081,95.98%,28000,26,Meowscarada,,0,,,,,,,,,
292,Kartana,,798,,2062,90,12,15,12,86.7,20.0,20.0,,,,"2026-07-02 18:12",8/26/2024,,,0,0,0,2500,,,,,,,,,65.74%,1404,96.15%,24000,22,Kartana,,0,,,,,,,,,
293,Necrozma,Normal,800,,2043,136,12,12,10,75.6,20.0,20.0,,,,"2026-07-02 18:12",8/26/2024,,,0,0,0,2500,,,,,,,,,12.89%,3568,94.33%,24000,22,Necrozma,Normal,0,,,,,,,,,
294,Cyndaquil,,155,♂,362,64,15,14,15,97.8,13.0,13.0,,,,"2026-07-02 18:12",8/28/2024,,,0,1,0,1921,56.39%,1787,95.38%,79500,103,Quilava,,2,66.30%,1381,96.47%,47100,157,Typhlosion,Normal,2,26.91%,2994,90.62%,19444,27,Cyndaquil,,1,
295,Feraligatr,,160,♀,626,79,15,4,15,75.6,8.0,8.0,,,,"2026-07-02 18:12",8/28/2024,,,0,1,0,961,8.40%,3752,92.74%,37686,57,Feraligatr,,1,35.41%,2646,95.59%,67800,67,Feraligatr,,2,,,,,,,,,
296,Seedot,,273,♂,26,22,14,15,13,93.3,2.0,2.0,,,,"2026-07-02 18:12",,,,0,0,0,200,63.59%,1492,95.55%,58600,192,Shiftry,,0,89.77%,420,97.22%,407600,427,Shiftry,,0,56.04%,1801,93.16%,5200,136,Shiftry,,0,
297,Fletchling,,661,♀,682,104,13,15,14,93.3,31.0,31.0,,,,"2026-07-02 18:12",8/30/2024,,,0,0,0,6000,81.86%,744,95.42%,193000,199,Fletchinder,,0,99.83%,8,98.95%,390000,299,Talonflame,,0,,,,,,,,,
298,Espeon,,196,♂,2154,115,14,14,14,93.3,24.0,24.0,,,,"2026-07-02 18:12",8/30/2024,,,0,0,0,3500,,,,,,,,,34.21%,2695,95.14%,27500,24,Espeon,,0,,,,,,,,,
299,Donphan,,232,♂,1270,113,14,13,12,86.7,15.0,15.0,,,,"2026-07-02 18:12",8/31/2024,,,0,0,0,1900,51.11%,2003,95.30%,9800,10,Donphan,,0,52.48%,1947,96.12%,91400,82,Donphan,,0,,,,,,,,,
300,Jynx,,124,,2080,127,13,13,14,88.9,29.0,29.0,,,,"2026-07-02 18:12",9/3/2024,,,0,0,0,5000,,,,,,,,,68.13%,1306,96.75%,150000,175,Jynx,,0,,,,,,,,,
301,Absol,Normal,359,♀,1406,106,12,11,15,84.4,20.0,20.0,,,,"2026-07-02 18:12",9/4/2024,,,0,0,0,2500,42.47%,2357,94.52%,5000,4,Absol,Normal,0,69.16%,1264,96.67%,245000,248,Absol,Normal,0,,,,,,,,,
302,Kingambit,,983,♀,2060,143,15,14,15,97.8,20.0,20.0,,,,"2026-07-02 18:12",9/5/7074,,,0,0,0,2500,,,,,,,,,52.48%,1947,95.84%,24000,22,Kingambit,,0,,,,,,,,,
303,Gardevoir,Normal,282,♀,1119,88,9,14,15,84.4,13.0,13.0,,,,"2026-07-02 18:12",9/5/2024,,,0,1,0,1921,49.26%,2079,94.75%,16804,24,Gardevoir,Normal,1,93.70%,259,98.24%,111364,118,Gardevoir,Normal,1,,,,,,,,,
304,Slaking,,289,♀,2495,177,15,11,13,86.7,20.0,20.0,,,,"2026-07-02 18:12",9/6/2024,,,0,0,0,2500,,,,,,,,,78.17%,895,96.88%,0,0,Slaking,,0,,,,,,,,,
305,Clodsire,,980,♂,1095,171,14,14,10,84.4,20.0,20.0,,,,"2026-07-02 18:12",9/6/7074,,,0,0,0,2500,18.71%,3330,92.58%,47000,42,Clodsire,,0,98.58%,59,97.09%,475000,248,Clodsire,,0,,,,,,,,,
306,Skwovet,,819,♀,401,96,15,14,14,95.6,15.0,15.0,,,,"2026-07-02 18:12",9/6/7074,,,0,0,0,1900,31.40%,2810,93.89%,32400,80,Greedent,,0,75.56%,1002,95.97%,346400,318,Greedent,,0,34.87%,2668,90.93%,14200,14,Skwovet,,0,
307,Wooloo,,831,♂,393,81,13,15,14,93.3,20.0,20.0,,,,"2026-07-02 18:12",9/6/2024,,,0,0,0,2500,46.20%,2204,94.65%,24000,72,Dubwool,,0,99.58%,18,98.23%,475000,298,Dubwool,,0,32.11%,2781,90.31%,31000,28,Wooloo,,0,
308,Wooloo,,831,,295,70,14,13,14,91.1,15.0,15.0,,,,"2026-07-02 18:12",9/7/2024,,,0,0,0,1900,39.29%,2487,94.31%,45400,92,Dubwool,,0,99.39%,26,97.88%,496400,318,Dubwool,,0,25.37%,3057,89.69%,52400,48,Wooloo,,0,
309,Cinderace,,815,♂,1193,102,15,11,15,91.1,14.0,14.0,,,,"2026-07-02 18:12",9/8/2024,,,0,0,0,1600,70.77%,1198,95.78%,13000,14,Cinderace,,0,23.93%,3116,95.01%,89600,82,Cinderace,,0,,,,,,,,,
310,Vanilluxe,,584,♂,3040,155,15,15,15,100.0,46.0,46.0,,,,"2026-07-02 18:12",,,,0,0,0,13000,,,,,,,,,,,,,,,,,,,,,,,,,
311,Blastoise,Normal,9,♂,1402,121,15,13,15,95.6,20.0,20.0,,,,"2026-07-02 18:11",9/11/7074,,,0,0,0,2500,21.64%,3210,93.33%,5000,4,Blastoise,Normal,0,37.88%,2545,94.93%,245000,248,Blastoise,Normal,0,,,,,,,,,
312,Reuniclus,,579,♂,559,89,13,12,13,84.4,7.0,7.0,,,,"2026-07-02 18:11",,,,0,0,0,800,32.23%,2776,94.45%,30800,36,Reuniclus,,0,62.88%,1521,96.61%,125200,118,Reuniclus,,0,,,,,,,,,
313,Squirtle,,7,♂,517,83,11,15,13,86.7,20.0,20.0,,,,"2026-07-02 18:11",9/11/2024,,,0,0,0,2500,72.99%,1107,94.75%,289000,273,Wartortle,,0,64.40%,1459,96.11%,289000,373,Blastoise,Normal,0,,,,,,,,,
314,Shuckle,,213,,84,37,13,12,14,86.7,8.0,8.0,,,,"2026-07-02 18:11",9/13/7074,,,0,1,0,961,99.98%,2,99.76%,402600,213,Shuckle,,2,99.98%,2,99.76%,402600,213,Shuckle,,2,99.98%,2,99.76%,402600,213,Shuckle,,2,
315,Blastoise,Normal,9,♂,2109,148,15,14,15,97.8,30.0,30.0,,,,"2026-07-02 18:11",9/14/2024,,,0,0,0,5000,,,,,,,,,47.74%,2141,95.36%,170000,182,Blastoise,Normal,0,,,,,,,,,
316,Bulbasaur,,1,♂,623,83,15,13,11,86.7,20.0,20.0,,,,"2026-07-02 18:11",9/14/2024,,,0,0,0,2500,18.00%,3359,93.47%,103000,117,Ivysaur,,0,36.58%,2598,95.48%,137000,255,Venusaur,Normal,0,,,,,,,,,
317,Charizard,Normal,6,♀,1619,119,11,15,14,88.9,20.0,20.0,,,,"2026-07-02 18:11",9/14/2024,,,0,0,0,2500,,,,,,,,,80.34%,806,97.07%,91000,80,Charizard,Normal,0,,,,,,,,,
318,Reuniclus,,579,♂,1075,121,15,14,11,88.9,13.0,13.0,,,,"2026-07-02 18:11",9/15/2024,,,0,1,0,1921,62.05%,1555,95.80%,22084,30,Reuniclus,,1,63.39%,1500,96.63%,42600,41,Reuniclus,,2,,,,,,,,,
319,Venusaur,Normal,3,♂,1546,121,15,15,13,95.6,20.0,20.0,,,,"2026-07-02 18:11",9/15/7074,,,0,0,0,2500,,,,,,,,,56.68%,1775,96.31%,130000,122,Venusaur,Normal,0,,,,,,,,,
320,Igglybuff,,174,♀,299,132,15,13,15,95.6,20.0,20.0,,,,"2026-07-02 18:11",9/17/2024,,,0,0,0,2500,62.78%,1525,95.48%,51500,121,Wigglytuff,,0,99.56%,19,98.10%,475000,323,Wigglytuff,,0,67.11%,1348,89.77%,161000,160,Igglybuff,,0,
321,Chikorita,,152,♂,190,52,7,12,12,68.9,8.0,8.0,,,,"2026-07-02 18:11",,,,0,1,0,961,96.92%,127,97.78%,313500,235,Bayleef,,2,92.87%,293,97.48%,301800,325,Meganium,,2,93.97%,248,96.41%,12962,49,Bayleef,,1,
322,Hatenna,,856,♀,364,70,15,13,14,93.3,15.0,15.0,,,,"2026-07-02 18:11",9/20/2024,,,0,0,0,1900,54.04%,1883,95.28%,14200,139,Hatterene,,0,52.31%,1954,96.03%,118400,231,Hatterene,,0,43.22%,2326,91.81%,23900,22,Hatenna,,0,
323,Tyrogue,,236,♂,276,74,15,13,14,93.3,20.0,20.0,,,,"2026-07-02 18:11",,,,0,0,0,2500,82.03%,737,96.62%,2500,27,Hitmonlee,,0,74.97%,1026,96.76%,196000,231,Hitmonlee,,0,90.16%,404,94.27%,278000,248,Tyrogue,,0,
324,Meganium,,154,♂,1822,142,13,11,15,86.7,27.0,27.0,,,,"2026-07-02 18:11",,,,0,0,0,4500,,,,,,,,,72.45%,1129,95.94%,278000,206,Meganium,,0,,,,,,,,,
325,Feraligatr,,160,♂,2539,157,15,15,13,95.6,32.5,32.5,,,,"2026-07-02 18:11",9/28/2024,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
326,Sobble,,816,♂,774,101,14,14,15,95.6,25.0,25.0,,,,"2026-07-02 18:11",9/20/7074,,,0,0,0,4000,29.91%,2871,93.98%,20500,43,Drizzile,,0,56.29%,1791,96.30%,39000,159,Inteleon,,0,,,,,,,,,
327,Koffing,,109,♂,615,76,13,15,15,95.6,18.0,18.0,,,,"2026-07-02 18:11",10/2/7074,,,0,0,0,2200,76.65%,957,95.97%,26400,74,Weezing,Normal,0,97.90%,87,98.38%,412400,306,Weezing,Normal,0,,,,,,,,,
328,Blaziken,Normal,257,♂,1969,133,14,10,10,75.6,25.0,25.0,,,,"2026-07-02 18:11",10/5/2024,,,0,0,0,4000,,,,,,,,,15.48%,3462,94.44%,78000,70,Blaziken,Normal,0,,,,,,,,,
329,Electabuzz,,125,♀,478,63,8,3,6,37.8,8.0,8.0,,,,"2026-07-02 18:11",,,,0,1,0,961,62.08%,1554,94.98%,37686,157,Electivire,,1,49.40%,2073,93.21%,404600,215,Electabuzz,,2,21.86%,3201,90.15%,0,0,Electabuzz,,1,
330,Hoppip,,187,♀,215,56,15,15,7,82.2,13.0,13.0,,,,"2026-07-02 18:11",10/9/2024,,,0,1,0,1921,21.98%,3196,92.99%,207364,348,Jumpluff,,1,98.61%,58,96.95%,402600,325,Jumpluff,,2,19.63%,3292,87.98%,123364,128,Hoppip,,1,
331,Drifloon,,425,♂,257,81,13,11,11,77.8,8.0,8.0,,,,"2026-07-02 18:11",10/10/2024,,,0,1,0,961,31.77%,2795,93.42%,63126,134,Drifblim,,1,70.50%,1209,95.50%,497526,434,Drifblim,,1,24.22%,3104,90.31%,20646,36,Drifloon,,1,
332,Heatran,,485,♀,805,82,6,12,11,64.4,8.0,8.0,,,,"2026-07-02 18:10",10/11/2024,,,0,1,0,961,73.70%,1078,96.37%,18725,33,Heatran,,1,96.70%,136,98.21%,79326,100,Heatran,,1,,,,,,,,,
333,Swampert,Normal,260,♂,650,86,15,11,6,71.1,8.0,8.0,,,,"2026-07-02 18:10",,,,0,1,0,961,23.05%,3152,93.49%,35046,54,Swampert,Normal,1,39.17%,2492,95.70%,42600,41,Swampert,Normal,2,,,,,,,,,
334,Mawile,Normal,303,♂,899,87,12,14,10,80.0,20.0,20.0,,,,"2026-07-02 18:10",10/12/2024,,,0,0,0,2500,56.73%,1773,95.15%,161000,160,Mawile,Normal,0,95.24%,196,94.53%,475000,248,Mawile,Normal,0,,,,,,,,,
335,Swellow,,277,,597,74,15,14,13,93.3,11.0,11.0,,,,"2026-07-02 18:10",10/13/2024,,,0,0,0,1300,56.04%,1801,95.17%,84500,82,Swellow,,0,99.68%,14,98.58%,508000,284,Swellow,,0,,,,,,,,,
336,Tirtouga,,564,♂,521,76,7,14,15,80.0,13.0,13.0,,,,"2026-07-02 18:10",10/14/7074,,,0,1,0,1921,92.04%,327,96.65%,437764,360,Tirtouga,,1,89.94%,413,97.90%,291364,391,Carracosta,,1,,,,,,,,,
337,Plusle,,311,♂,745,87,11,15,15,91.1,15.0,15.0,,,,"2026-07-02 18:10",,,,0,0,0,1900,73.06%,1104,96.06%,96400,86,Plusle,,0,99.27%,31,97.80%,496400,268,Plusle,,0,,,,,,,,,
338,Duskull,,355,♀,152,34,15,14,7,80.0,8.0,8.0,,,,"2026-07-02 18:10",10/15/7074,,,0,1,0,961,35.41%,2646,93.84%,135300,174,Dusclops,,2,50.11%,2044,94.33%,278400,325,Dusknoir,,2,27.01%,2990,89.07%,6600,6,Duskull,,2,
339,Politoed,,186,♀,762,97,14,15,13,93.3,11.0,11.0,,,,"2026-07-02 18:10",10/15/2024,,,0,0,0,1300,61.15%,1592,95.34%,41000,43,Politoed,,0,54.68%,1857,95.44%,300000,284,Politoed,,0,,,,,,,,,
340,Magnemite,,81,,583,55,15,15,15,100.0,15.0,15.0,,,,"2026-07-02 18:10",10/16/2024,,,0,0,0,1900,99.10%,38,98.69%,424400,268,Magnemite,,0,65.47%,1415,96.45%,246400,293,Magneton,,0,,,,,,,,,
341,Pidgeot,Normal,18,♀,766,99,12,13,11,80.0,13.0,13.0,,,,"2026-07-02 18:10",,,,0,0,0,0,22.05%,3193,93.25%,58800,56,Pidgeot,Normal,0,96.29%,153,95.52%,502800,276,Pidgeot,Normal,0,,,,,,,,,
342,Illumise,,314,♀,447,70,15,12,14,91.1,9.0,9.0,,,,"2026-07-02 18:10",10/20/2024,,,0,0,0,1000,7.86%,3774,92.12%,107000,102,Illumise,,0,99.39%,26,97.68%,512000,288,Illumise,,0,76.56%,961,94.77%,2000,2,Illumise,,0,
343,Spinarak,,167,♀,155,47,12,15,15,93.3,7.0,7.0,,,,"2026-07-02 18:10",10/23/2024,,,0,0,0,800,63.61%,1491,95.69%,115200,160,Ariados,,0,99.76%,11,98.30%,515200,342,Ariados,,0,94.46%,228,96.67%,5200,56,Ariados,,0,
344,Gengar,Normal,94,♂,2415,122,15,10,13,84.4,30.0,30.0,,,,"2026-07-02 18:10",10/25/2024,,,0,0,0,5000,,,,,,,,,43.79%,2303,95.47%,22000,20,Gengar,Normal,0,,,,,,,,,
345,Purrloin,,509,♀,168,51,13,12,15,88.9,8.0,8.0,,,,"2026-07-02 18:10",,,,0,0,0,800,70.87%,1194,96.09%,103600,150,Liepard,,0,98.41%,66,96.56%,513600,340,Liepard,,0,73.72%,1077,93.86%,59100,61,Purrloin,,0,
346,Frillish,,592,♂,527,82,13,15,13,91.1,15.0,15.0,,,,"2026-07-02 18:10",,,,0,0,0,1900,34.33%,2690,94.21%,35400,83,Jellicent,,0,91.09%,366,97.47%,397400,318,Jellicent,,0,,,,,,,,,
347,Banette,Normal,354,♀,1280,105,14,10,14,84.4,20.0,20.0,,,,"2026-07-02 18:10",10/20/7074,,,0,0,0,2500,20.27%,3266,92.90%,17000,16,Banette,Normal,0,89.50%,431,96.80%,431000,248,Banette,Normal,0,,,,,,,,,
348,Jellicent,,593,♀,1140,131,13,14,10,82.2,17.5,17.5,,,,"2026-07-02 18:10",10/30/2024,,,0,0,0,2200,66.32%,1380,95.81%,28600,26,Jellicent,,0,79.90%,824,96.55%,400600,258,Jellicent,,0,,,,,,,,,
349,Pikachu,Normal,25,♂,686,84,5,14,6,55.6,29.0,29.0,,,,"2026-07-02 18:09",10/30/2024,,,0,0,0,5000,66.15%,1387,85.21%,410000,190,Pikachu,Normal,0,66.28%,1382,89.95%,410000,240,Raichu,Normal,0,,,,,,,,,
350,Butterfree,,12,♂,380,63,9,3,13,55.6,8.0,8.0,,,,"2026-07-02 18:09",11/3/2024,,,0,1,0,961,35.78%,2631,94.61%,47100,45,Butterfree,,2,81.17%,772,91.37%,402600,213,Butterfree,,2,13.77%,3532,89.24%,4322,8,Butterfree,,1,
351,Ferroseed,,597,♂,194,52,8,12,14,75.6,8.0,8.0,,,,"2026-07-02 18:09",,,,0,1,0,961,59.44%,1662,95.27%,70926,142,Ferrothorn,,1,99.51%,21,99.15%,616326,434,Ferrothorn,,1,93.87%,252,96.63%,0,50,Ferrothorn,,1,
352,Manectric,Normal,310,♀,1323,109,15,15,11,91.1,20.0,20.0,,,,"2026-07-02 18:09",11/4/7074,,,0,0,0,2500,51.92%,1970,94.53%,14000,13,Manectric,Normal,0,88.28%,481,96.50%,363000,248,Manectric,Normal,0,,,,,,,,,
353,Barboach,,339,♂,176,56,12,12,14,84.4,8.0,8.0,,,,"2026-07-02 18:09",11/6/2024,,,0,1,0,961,67.94%,1314,95.64%,93126,162,Whiscash,,1,99.71%,13,98.76%,402600,258,Whiscash,,2,45.81%,2220,91.90%,961,52,Whiscash,,1,
354,Pumpkaboo,Average,710,,1037,106,15,10,8,73.3,32.0,32.0,,,,"2026-07-02 18:09",,,,0,0,0,6000,90.89%,374,91.79%,378000,162,Pumpkaboo,Average,0,51.23%,1998,94.96%,266000,362,Gourgeist,Average,0,,,,,,,,,
355,Pumpkaboo,Small,710,♀,788,85,13,10,1,53.3,25.0,25.0,,,,"2026-07-02 18:09",11/9/2024,,,0,0,0,4000,57.46%,1743,85.42%,444000,220,Pumpkaboo,Small,0,48.69%,2102,90.14%,444000,420,Gourgeist,Small,0,,,,,,,,,
356,Smoliv,,928,♀,363,69,15,15,13,95.6,15.0,15.0,,,,"2026-07-02 18:09",11/9/2024,,,0,0,0,1900,82.17%,731,95.54%,334400,293,Dolliv,,0,38.49%,2520,95.61%,91400,207,Arboliva,,0,54.53%,1863,92.34%,23900,22,Smoliv,,0,
357,Annihilape,,979,♀,3241,200,15,14,12,91.1,40.0,40.0,,,,"2026-07-02 18:09",11/10/2024,,,0,0,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,
358,Pumpkaboo,Small,710,♂,640,82,13,15,14,93.3,19.0,19.0,,,,"2026-07-02 18:09",11/10/2024,,,0,0,0,2500,68.13%,1306,95.45%,25500,223,Gourgeist,Small,0,99.95%,3,99.75%,465000,452,Gourgeist,Small,0,,,,,,,,,
359,Nidorina,,30,,245,64,3,2,1,13.3,8.0,8.0,,,,"2026-07-02 18:09",11/12/7074,,,0,1,0,961,70.57%,1206,95.93%,75126,196,Nidoqueen,,1,40.27%,2447,95.30%,375600,303,Nidoqueen,,2,74.53%,1044,94.95%,0,100,Nidoqueen,,1,
360,Slowbro,Normal,80,♂,1614,145,10,15,11,80.0,23.0,23.0,,,,"2026-07-02 18:09",11/16/2024,,,0,0,0,3500,,,,,,,,,59.05%,1678,96.16%,228000,232,Slowbro,Normal,0,,,,,,,,,
361,Exeggcute,,102,♀,788,113,11,7,15,73.3,25.0,25.0,,,,"2026-07-02 18:09",11/16/7074,,,0,1,0,4800,95.43%,188,94.15%,402600,213,Exeggcute,,2,63.93%,1478,96.43%,58800,103,Exeggutor,Normal,1,,,,,,,,,
362,Excadrill,,530,♀,2718,186,10,15,13,84.4,30.0,30.0,,,,"2026-07-02 18:09",11/17/2024,,,0,0,0,5000,,,,,,,,,,,,,,,,,,,,,,,,,
363,Ampharos,Normal,181,♂,1600,132,12,14,14,88.9,20.0,20.0,,,,"2026-07-02 18:09",11/18/2024,,,0,0,0,2500,,,,,,,,,84.20%,648,97.68%,103000,92,Ampharos,Normal,0,,,,,,,,,
364,Vespiquen,,416,♀,1691,135,13,11,11,77.8,31.0,31.0,,,,"2026-07-02 18:09",11/19/7074,,,0,0,0,6000,,,,,,,,,93.55%,265,94.39%,390000,174,Vespiquen,,0,,,,,,,,,
365,Venipede,,543,♂,144,43,8,10,15,73.3,8.0,8.0,,,,"2026-07-02 18:09",11/28/2024,,,0,1,0,961,43.93%,2297,94.55%,59526,205,Scolipede,,1,77.88%,907,96.83%,256800,325,Scolipede,,2,90.18%,403,96.37%,27486,70,Whirlipede,,1,
366,Vespiquen,,416,,1691,135,13,11,11,77.8,31.0,31.0,,,,"2026-07-02 18:09",11/19/2024,,,0,0,0,6000,,,,,,,,,93.55%,265,94.39%,390000,174,Vespiquen,,0,,,,,,,,,
367,Quagsire,,195,♀,1481,159,10,10,11,68.9,27.5,27.5,,,,"2026-07-02 18:09",11/28/2024,,,0,0,0,4500,43.22%,2326,94.31%,0,0,Quagsire,,0,83.15%,691,92.00%,423500,202,Quagsire,,0,,,,,,,,,
368,Whimsicott,,547,♀,1457,111,14,15,8,82.2,26.0,26.0,,,,"2026-07-02 18:09",11/29/2024,,,0,0,0,4000,36.68%,2594,93.90%,4000,4,Whimsicott,,0,95.16%,199,95.24%,436000,214,Whimsicott,,0,,,,,,,,,
369,Stantler,,234,♂,465,69,10,14,8,71.1,8.0,8.0,,,,"2026-07-02 18:09",11/30/2024,,,0,1,0,961,91.01%,369,97.06%,46326,116,Wyrdeer,,1,67.20%,1344,96.76%,105600,159,Wyrdeer,,2,86.59%,550,95.70%,961,2,Stantler,,1,
370,Gloom,,44,♂,1892,143,15,12,15,93.3,50.5,50.5,,,,"2026-07-02 18:09",,,,0,0,0,2500,,,,,,,,,,,,,,,,,,,,,,,,,
371,Pumpkaboo,Super,710,♀,904,108,11,15,4,66.7,27.0,27.0,,,,"2026-07-02 18:09",12/2/2024,,,0,0,0,4500,84.27%,645,90.11%,428000,206,Pumpkaboo,Super,0,47.74%,2141,95.88%,168000,391,Gourgeist,Super,0,,,,,,,,,
372,Spritzee,,682,♂,527,102,14,14,13,91.1,15.0,15.0,,,,"2026-07-02 18:08",12/3/2024,,,0,0,0,1900,48.79%,2098,94.85%,35400,83,Aromatisse,,0,88.28%,481,97.07%,384400,318,Aromatisse,,0,,,,,,,,,
373,Snover,,459,♀,423,81,15,11,15,91.1,13.0,13.0,,,,"2026-07-02 18:08",12/4/2024,,,0,1,0,1921,67.01%,1352,95.87%,50164,110,Abomasnow,Normal,1,80.44%,802,96.54%,278400,258,Abomasnow,Normal,2,13.26%,3553,90.18%,7684,12,Snover,,1,
374,Greavard,,971,♀,222,56,15,9,14,84.4,8.0,8.0,,,,"2026-07-02 18:08",,,,0,0,0,800,33.02%,2744,93.87%,43600,96,Houndstone,,0,21.98%,3196,94.74%,273600,340,Houndstone,,0,26.08%,3028,90.97%,27000,32,Greavard,,0,
375,Mankey,,56,♂,1075,102,14,15,15,97.8,35.0,35.0,,,,"2026-07-02 18:08",12/10/2024,,,0,0,0,8000,99.98%,2,99.39%,338000,118,Mankey,,0,99.07%,39,98.88%,266000,168,Primeape,,0,,,,,,,,,
376,Genesect,Normal,649,,1888,110,14,15,11,88.9,20.0,20.0,,,,"2026-07-02 18:08",12/10/2024,,,0,0,0,2500,,,,,,,,,29.06%,2906,94.88%,39000,34,Genesect,Normal,0,,,,,,,,,
377,Tympole,,535,,367,78,12,15,10,82.2,16.0,16.0,,,,"2026-07-02 18:08",12/16/2024,,,0,0,0,1900,97.73%,94,97.90%,448600,289,Palpitoad,,0,44.03%,2293,95.84%,232600,374,Seismitoad,,0,53.16%,1919,92.40%,25600,23,Tympole,,0,
378,Snorunt,,361,♀,185,55,13,5,12,66.7,8.0,8.0,,,,"2026-07-02 18:08",12/16/2024,,,0,1,0,961,40.07%,2455,93.78%,102726,222,Froslass,,1,94.73%,217,94.93%,402600,303,Glalie,Normal,2,67.03%,1351,93.38%,1922,104,Froslass,,1,
379,Swinub,,220,♂,620,114,8,12,15,77.8,34.0,34.0,,,,"2026-07-02 18:08",12/17/2024,,,0,0,0,0,91.14%,364,90.00%,352000,134,Swinub,,0,94.19%,239,97.85%,308000,159,Piloswine,,0,,,,,,,,,
380,Metagross,Normal,376,,1382,98,15,6,15,80.0,13.0,13.0,,,,"2026-07-02 18:08",12/18/2024,,,0,1,0,1921,64.40%,1459,95.77%,3842,6,Metagross,Normal,1,65.49%,1414,96.30%,57964,68,Metagross,Normal,1,,,,,,,,,
381,Florges,,671,♀,2208,131,14,15,15,97.8,24.0,24.0,,,,"2026-07-02 18:08",12/19/2024,,,0,0,0,3500,,,,,,,,,60.78%,1607,96.18%,23000,20,Florges,,0,,,,,,,,,
382,Blissey,,242,♀,2505,385,15,13,14,93.3,34.0,34.0,,,,"2026-07-02 18:08",,,,0,0,0,7000,,,,,,,,,,,,,,,,,,,,,,,,,
383,Porygon-z,,474,,2524,150,8,12,15,77.8,28.0,28.0,,,,"2026-07-02 18:08",12/21/2024,,,0,0,0,4500,,,,,,,,,,,,,,,,,,,,,,,,,
384,Blitzle,,522,♂,180,51,6,14,9,64.4,8.0,8.0,,,,"2026-07-02 18:08",,,,0,1,0,961,56.87%,1767,95.43%,63126,134,Zebstrika,,1,91.36%,355,97.70%,290100,258,Zebstrika,,2,69.94%,1232,93.57%,55926,76,Blitzle,,1,
